epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.54645,0.9901,6.05415,0.00592,0.0062,0.94866,0.24427,0.17624,0.83539,3.2314,0.00778,0.000233673,0.000233673,0.000233673
2,16.2558,0.99287,4.56242,0.00609,0.6127,0.38995,0.57808,0.43835,0.95518,1.93507,0.00951,0.000467781,0.000467781,0.000467781
3,23.8812,1.00423,3.60531,0.00604,0.63192,0.66143,0.74572,0.58597,0.93299,1.24791,0.00949,0.000697963,0.000697963,0.000697963
4,31.5826,0.98796,3.02922,0.00593,0.68096,0.81763,0.82075,0.62445,0.97925,1.06827,0.00938,0.000696328,0.000696328,0.000696328
5,39.1817,0.9791,2.75853,0.00575,0.70663,0.7709,0.84548,0.65453,0.9258,0.98919,0.00923,0.000690438,0.000690438,0.000690438
6,46.7834,0.94794,2.40214,0.0057,0.78135,0.78666,0.86791,0.67795,0.99878,0.85633,0.01042,0.000684548,0.000684548,0.000684548
7,54.48,0.94758,2.08381,0.00569,0.71507,0.80038,0.87083,0.69824,0.949,0.81744,0.00985,0.000678657,0.000678657,0.000678657
8,62.0599,0.93318,1.84274,0.00553,0.76817,0.81925,0.88607,0.70524,0.84226,1.01519,0.00758,0.000672767,0.000672767,0.000672767
9,69.6051,0.94872,1.75186,0.00562,0.7838,0.83187,0.88087,0.69889,0.90418,0.78741,0.00885,0.000666876,0.000666876,0.000666876
10,77.2411,0.92136,1.51857,0.00545,0.81687,0.86582,0.91321,0.73233,0.93013,0.78392,0.00953,0.000660986,0.000660986,0.000660986
11,84.8496,0.89963,1.39253,0.00551,0.80157,0.87238,0.92426,0.72149,0.90423,0.8503,0.00849,0.000655095,0.000655095,0.000655095
12,92.4359,0.89117,1.28683,0.00533,0.7826,0.91314,0.91683,0.72958,0.97441,0.69803,0.01005,0.000649204,0.000649204,0.000649204
13,100.036,0.88762,1.16586,0.00525,0.82233,0.87943,0.92269,0.74086,0.92952,0.68684,0.00937,0.000643314,0.000643314,0.000643314
14,107.629,0.90936,1.09657,0.00533,0.84482,0.90076,0.94013,0.75411,0.84403,0.82559,0.00772,0.000637423,0.000637423,0.000637423
15,115.216,0.87274,1.04869,0.00507,0.85617,0.87899,0.9392,0.75288,0.91465,0.62561,0.00909,0.000631533,0.000631533,0.000631533
16,122.851,0.86454,0.95713,0.00495,0.83619,0.89885,0.9396,0.7526,0.94795,0.66709,0.00968,0.000625642,0.000625642,0.000625642
17,130.472,0.8607,0.90673,0.00494,0.85537,0.88416,0.93528,0.75027,0.78415,0.997,0.00711,0.000619752,0.000619752,0.000619752
18,138.08,0.84649,0.87386,0.00503,0.8553,0.86615,0.93334,0.75118,0.81798,0.72066,0.00759,0.000613862,0.000613862,0.000613862
19,145.722,0.86356,0.85032,0.00507,0.87409,0.88639,0.9355,0.73608,1.02145,0.6843,0.01083,0.000607971,0.000607971,0.000607971
20,153.399,0.85361,0.85532,0.00497,0.85174,0.90808,0.94053,0.75527,0.8898,0.62161,0.00855,0.000602081,0.000602081,0.000602081
21,160.997,0.83157,0.82956,0.00484,0.90924,0.87719,0.94,0.763,0.93258,0.60328,0.00984,0.00059619,0.00059619,0.00059619
22,168.591,0.82045,0.79,0.00498,0.84523,0.91758,0.94487,0.75868,0.86677,0.64108,0.00845,0.0005903,0.0005903,0.0005903
23,176.247,0.80089,0.76019,0.00481,0.85248,0.91501,0.93848,0.76274,0.8938,0.60958,0.00883,0.000584409,0.000584409,0.000584409
24,183.848,0.77562,0.72002,0.0046,0.87158,0.90281,0.93416,0.75486,0.78056,0.82982,0.00709,0.000578519,0.000578519,0.000578519
25,191.441,0.77249,0.7051,0.00472,0.89208,0.91352,0.95115,0.76127,0.9319,0.62667,0.00971,0.000572628,0.000572628,0.000572628
26,199.073,0.79122,0.69706,0.00485,0.899,0.86707,0.9478,0.76216,0.83381,0.92086,0.00772,0.000566737,0.000566737,0.000566737
27,206.658,0.80818,0.69553,0.00477,0.88415,0.87935,0.93085,0.75841,0.93445,0.60041,0.00958,0.000560847,0.000560847,0.000560847
28,214.229,0.76398,0.62879,0.00448,0.8593,0.90576,0.94247,0.76071,0.93572,0.61161,0.00958,0.000554956,0.000554956,0.000554956
29,221.781,0.79763,0.66026,0.00474,0.84493,0.91046,0.92859,0.76784,0.81263,0.82137,0.00754,0.000549066,0.000549066,0.000549066
30,229.475,0.79304,0.64425,0.00469,0.86453,0.91441,0.93927,0.76595,0.80843,0.90366,0.0074,0.000543175,0.000543175,0.000543175
31,237.039,0.77684,0.62876,0.00464,0.88178,0.91037,0.93916,0.76141,0.93546,0.57756,0.00943,0.000537285,0.000537285,0.000537285
32,244.62,0.76473,0.60944,0.00457,0.86789,0.90122,0.93347,0.76162,0.9135,0.59605,0.00941,0.000531395,0.000531395,0.000531395
33,252.262,0.77433,0.59423,0.00449,0.87059,0.92588,0.94627,0.75414,0.92612,0.6142,0.00944,0.000525504,0.000525504,0.000525504
34,259.824,0.76898,0.57534,0.00441,0.9051,0.86943,0.93885,0.75641,0.93536,0.60792,0.00968,0.000519613,0.000519613,0.000519613
35,267.411,0.76885,0.58296,0.00451,0.89398,0.93659,0.94953,0.76904,0.92392,0.56801,0.00954,0.000513723,0.000513723,0.000513723
36,275.065,0.78886,0.60225,0.00486,0.88963,0.89856,0.93861,0.77025,0.93444,0.60684,0.00989,0.000507833,0.000507833,0.000507833
37,282.691,0.7589,0.5789,0.00443,0.85503,0.914,0.93303,0.76408,0.7968,0.7845,0.00718,0.000501942,0.000501942,0.000501942
38,290.297,0.74305,0.53627,0.00432,0.91808,0.91295,0.94918,0.772,0.92487,0.57103,0.00972,0.000496052,0.000496052,0.000496052
39,297.952,0.74427,0.52981,0.00446,0.88753,0.92103,0.94621,0.77494,0.90831,0.57465,0.00896,0.000490161,0.000490161,0.000490161
40,305.699,0.75683,0.55229,0.00448,0.86759,0.92415,0.93806,0.76953,0.82716,0.80751,0.00773,0.000484271,0.000484271,0.000484271
41,313.291,0.72643,0.51845,0.0042,0.90943,0.90386,0.93621,0.75848,0.96191,0.60147,0.01024,0.00047838,0.00047838,0.00047838
42,320.934,0.74058,0.54404,0.00428,0.91111,0.911,0.94507,0.76814,0.92113,0.59171,0.00957,0.000472489,0.000472489,0.000472489
43,328.671,0.72199,0.49343,0.00424,0.88548,0.93154,0.94564,0.77223,0.92256,0.54209,0.00944,0.000466599,0.000466599,0.000466599
44,336.297,0.71697,0.4909,0.00422,0.90854,0.90652,0.93473,0.76239,0.90299,0.56996,0.00928,0.000460709,0.000460709,0.000460709
45,343.825,0.7292,0.48721,0.00422,0.88128,0.91216,0.9431,0.76969,0.93474,0.53087,0.00963,0.000454818,0.000454818,0.000454818
46,351.456,0.73822,0.49927,0.00422,0.91164,0.91949,0.95315,0.77389,0.91464,0.58808,0.00945,0.000448928,0.000448928,0.000448928
47,359.012,0.72562,0.48976,0.00427,0.92958,0.92039,0.95527,0.77571,0.94127,0.56766,0.00976,0.000443037,0.000443037,0.000443037
48,366.622,0.7299,0.48537,0.00434,0.92788,0.90506,0.95596,0.7739,0.92844,0.55614,0.00961,0.000437147,0.000437147,0.000437147
49,374.264,0.72337,0.4877,0.0042,0.92855,0.90518,0.94632,0.77084,0.94701,0.58433,0.00978,0.000431256,0.000431256,0.000431256
50,381.886,0.72809,0.46952,0.00419,0.90652,0.87527,0.93941,0.76219,0.92232,0.67874,0.00954,0.000425365,0.000425365,0.000425365
51,389.444,0.69385,0.45509,0.00402,0.91945,0.91443,0.95549,0.77488,0.94172,0.53986,0.00981,0.000419475,0.000419475,0.000419475
52,397.005,0.73365,0.47544,0.00433,0.93181,0.89779,0.95184,0.76419,0.94139,0.67236,0.00995,0.000413584,0.000413584,0.000413584
53,404.648,0.71905,0.44653,0.00429,0.91311,0.9423,0.95885,0.77297,0.95831,0.55233,0.00992,0.000407694,0.000407694,0.000407694
54,412.236,0.71109,0.45279,0.0042,0.94728,0.90008,0.96103,0.78481,0.89584,0.51415,0.00922,0.000401804,0.000401804,0.000401804
55,419.862,0.71636,0.46444,0.00412,0.91996,0.93549,0.95745,0.78081,0.91765,0.5502,0.00947,0.000395913,0.000395913,0.000395913
56,427.613,0.70475,0.44132,0.00406,0.9208,0.94237,0.95354,0.774,0.93771,0.556,0.00992,0.000390023,0.000390023,0.000390023
57,435.235,0.69588,0.42101,0.0041,0.93108,0.91595,0.96016,0.783,0.92941,0.54371,0.00958,0.000384132,0.000384132,0.000384132
58,442.805,0.69974,0.44096,0.00413,0.9172,0.92025,0.96218,0.77862,0.92231,0.5751,0.00944,0.000378242,0.000378242,0.000378242
59,450.384,0.68802,0.41269,0.00404,0.90965,0.93666,0.95844,0.78357,0.91818,0.56918,0.00934,0.000372351,0.000372351,0.000372351
60,458.014,0.68991,0.41936,0.00407,0.91585,0.9326,0.96383,0.78808,0.9236,0.52181,0.0097,0.00036646,0.00036646,0.00036646
61,465.551,0.68599,0.417,0.00401,0.90105,0.94383,0.95907,0.79013,0.90529,0.52436,0.00953,0.00036057,0.00036057,0.00036057
62,473.133,0.68004,0.41488,0.00399,0.92434,0.9226,0.9593,0.78434,0.89946,0.55502,0.00938,0.00035468,0.00035468,0.00035468
63,480.748,0.69695,0.43129,0.00411,0.91781,0.93337,0.95631,0.78392,0.90813,0.55012,0.00943,0.000348789,0.000348789,0.000348789
64,488.306,0.69153,0.40959,0.004,0.93551,0.9275,0.9597,0.78537,0.91927,0.52481,0.00963,0.000342899,0.000342899,0.000342899
65,495.837,0.6799,0.4149,0.00386,0.93123,0.927,0.96111,0.78822,0.91779,0.52109,0.00944,0.000337008,0.000337008,0.000337008
66,503.408,0.67693,0.40514,0.00404,0.91673,0.93722,0.9605,0.77807,0.92009,0.50516,0.00941,0.000331118,0.000331118,0.000331118
67,511.105,0.66617,0.39533,0.00381,0.91179,0.93439,0.95474,0.78276,0.8893,0.56494,0.00902,0.000325227,0.000325227,0.000325227
68,518.659,0.65335,0.38889,0.00381,0.93848,0.92829,0.95988,0.78463,0.9289,0.54538,0.00963,0.000319336,0.000319336,0.000319336
69,526.228,0.66207,0.40809,0.00381,0.90749,0.91916,0.95432,0.78014,0.91304,0.53238,0.0095,0.000313446,0.000313446,0.000313446
70,533.934,0.65759,0.39302,0.00373,0.92848,0.91512,0.95308,0.78317,0.88767,0.55046,0.00911,0.000307555,0.000307555,0.000307555
71,541.544,0.64037,0.36911,0.00372,0.94492,0.94919,0.96449,0.78963,0.92307,0.51173,0.00965,0.000301665,0.000301665,0.000301665
72,549.115,0.65945,0.37417,0.0039,0.92972,0.93586,0.96096,0.78262,0.91272,0.54778,0.00945,0.000295775,0.000295775,0.000295775
73,556.698,0.64577,0.38294,0.00375,0.94227,0.93575,0.96688,0.78664,0.91583,0.5144,0.00942,0.000289884,0.000289884,0.000289884
74,564.395,0.63392,0.34756,0.00369,0.94074,0.93665,0.9595,0.78261,0.92347,0.52389,0.00941,0.000283994,0.000283994,0.000283994
75,571.987,0.65088,0.36256,0.0037,0.92606,0.95068,0.96254,0.77465,0.95249,0.49763,0.00994,0.000278103,0.000278103,0.000278103
76,579.57,0.64942,0.37224,0.00368,0.93231,0.9206,0.96123,0.78628,0.92403,0.50343,0.00968,0.000272212,0.000272212,0.000272212
77,587.239,0.63487,0.3492,0.00373,0.93176,0.94586,0.96378,0.79622,0.89176,0.51501,0.00932,0.000266322,0.000266322,0.000266322
78,594.887,0.63769,0.34938,0.00371,0.93992,0.95059,0.9583,0.79372,0.92182,0.53017,0.00961,0.000260431,0.000260431,0.000260431
79,602.482,0.63155,0.35311,0.00362,0.94071,0.93558,0.95557,0.78107,0.92583,0.54227,0.00961,0.000254541,0.000254541,0.000254541
80,610.151,0.63916,0.36324,0.00364,0.95209,0.91202,0.95787,0.78977,0.92872,0.53347,0.00977,0.000248651,0.000248651,0.000248651
81,617.73,0.63005,0.34699,0.00352,0.91425,0.93418,0.9506,0.78431,0.9283,0.56346,0.00957,0.00024276,0.00024276,0.00024276
82,625.34,0.63356,0.34114,0.00365,0.90471,0.95355,0.95419,0.78611,0.9271,0.55002,0.0097,0.000236869,0.000236869,0.000236869
83,632.944,0.62334,0.34062,0.00371,0.92796,0.93078,0.95301,0.78854,0.90943,0.54834,0.00944,0.000230979,0.000230979,0.000230979
84,640.642,0.62667,0.34134,0.00353,0.92749,0.9352,0.95295,0.78324,0.91491,0.52264,0.00943,0.000225089,0.000225089,0.000225089
85,648.24,0.60732,0.32356,0.0035,0.93671,0.94332,0.95588,0.78412,0.93726,0.50528,0.00985,0.000219198,0.000219198,0.000219198
86,655.948,0.61405,0.32399,0.00359,0.94293,0.93503,0.95626,0.78899,0.92191,0.50108,0.00961,0.000213307,0.000213307,0.000213307
87,663.77,0.62328,0.33334,0.00361,0.94356,0.94303,0.95243,0.78377,0.93366,0.54634,0.00983,0.000207417,0.000207417,0.000207417
88,671.372,0.60555,0.33373,0.00337,0.9257,0.94942,0.94878,0.78039,0.9387,0.58751,0.00972,0.000201527,0.000201527,0.000201527
89,678.938,0.62303,0.32755,0.00359,0.93328,0.92128,0.95135,0.77795,0.94178,0.53676,0.00983,0.000195636,0.000195636,0.000195636
90,686.618,0.60136,0.33712,0.00341,0.92516,0.92725,0.95304,0.78841,0.92666,0.49323,0.00971,0.000189745,0.000189745,0.000189745
91,694.177,0.59392,0.31867,0.00334,0.92337,0.93554,0.95347,0.7865,0.91549,0.51248,0.00969,0.000183855,0.000183855,0.000183855
92,701.735,0.57759,0.3131,0.00327,0.93336,0.92458,0.95141,0.78321,0.92798,0.53351,0.00973,0.000177965,0.000177965,0.000177965
93,709.29,0.60904,0.32564,0.00352,0.93838,0.94138,0.95721,0.79474,0.90859,0.51907,0.0096,0.000172074,0.000172074,0.000172074
94,716.957,0.59965,0.30732,0.00337,0.93909,0.91303,0.9545,0.78296,0.92494,0.55111,0.00957,0.000166183,0.000166183,0.000166183
95,724.591,0.5987,0.31258,0.00333,0.90893,0.96021,0.95443,0.78194,0.92133,0.55381,0.00957,0.000160293,0.000160293,0.000160293
96,732.208,0.5794,0.30839,0.00338,0.95081,0.94594,0.95523,0.78405,0.92896,0.53683,0.00972,0.000154403,0.000154403,0.000154403
97,739.878,0.57541,0.30137,0.00331,0.92065,0.95536,0.95304,0.78488,0.917,0.53779,0.00951,0.000148512,0.000148512,0.000148512
98,747.499,0.58162,0.29919,0.00325,0.95247,0.93505,0.9577,0.78876,0.91384,0.54788,0.00954,0.000142621,0.000142621,0.000142621
99,755.146,0.58719,0.30958,0.00338,0.94766,0.93742,0.9595,0.78798,0.91041,0.55962,0.00946,0.000136731,0.000136731,0.000136731
100,762.73,0.59056,0.32005,0.00332,0.93205,0.94276,0.95866,0.79153,0.91168,0.5371,0.00948,0.000130841,0.000130841,0.000130841
101,770.394,0.57296,0.30403,0.00325,0.95122,0.92635,0.95572,0.78861,0.91544,0.5297,0.00947,0.00012495,0.00012495,0.00012495
102,777.973,0.5623,0.29881,0.0031,0.93826,0.93643,0.95597,0.78865,0.92239,0.50585,0.00956,0.00011906,0.00011906,0.00011906
